f0_workload,f1_mean,f2_std,f3_delta,f4_trend,f5_ema,f6_temperature,f7_headroom,f8_efficiency,f9_short_long
8410,8391,498,610,-118,8233,12958,8802,678,-762
8576,8398,500,165,-89,8321,11839,9921,679,-218
9060,8466,546,484,-20,8520,12498,9262,682,346
8521,8382,475,-538,62,8502,12846,8914,679,539
8321,8315,440,-201,108,8442,12435,9325,677,510
8067,8286,448,-254,85,8342,12448,9312,675,27
7983,8342,372,-84,-21,8264,12042,9718,674,-350
7725,8333,386,-258,-130,8127,12248,9512,672,-653
8721,8372,407,996,-90,8284,12837,8923,680,-366
7893,8286,426,-828,-108,8167,11403,10357,673,-278
7808,8130,333,-84,-65,8043,12325,9435,672,17
8063,8072,299,254,-28,8035,12105,9655,675,-242
8733,8124,365,670,53,8221,12423,9337,680,124
8882,8226,441,149,110,8409,13421,8339,681,533
8986,8351,493,104,148,8581,12334,9426,681,825
7883,8371,471,-1103,42,8411,13269,8491,673,340
7556,8225,518,-327,11,8165,13000,8760,669,-134
7199,8139,615,-357,-110,7904,12370,9390,664,-949
7221,8065,682,23,-222,7717,12339,9421,664,-1184
7273,7967,730,52,-288,7584,12347,9413,666,-1177
7839,7855,671,566,-217,7623,11849,9911,673,-657
7143,7637,578,-696,-166,7455,12547,9213,664,-350
7424,7442,272,280,-39,7403,11902,9858,668,43
7219,7359,221,-205,-11,7339,12208,9552,665,-155
6978,7287,239,-241,-21,7233,11027,10733,661,-128
7305,7300,236,327,-29,7254,11707,10053,667,-212
7267,7306,235,-39,-41,7258,12419,9341,666,-196
6862,7255,278,-405,-81,7148,11532,10228,659,-176
6704,7113,229,-158,-64,7005,12237,9523,656,-270
6447,7026,316,-257,-117,6846,11754,10006,651,-568
6282,6883,359,-165,-136,6673,12467,9293,647,-649
7044,6861,343,762,-87,6761,12628,9132,663,-433
6705,6827,343,-339,-87,6739,12064,9696,656,-240
6482,6724,306,-222,-65,6652,11939,9821,652,31
7170,6712,285,688,31,6779,12005,9755,664,118
7136,6746,316,-34,82,6876,11999,9761,664,293
6899,6770,319,-236,90,6887,12620,9140,660,476
6849,6821,295,-50,62,6889,13287,8473,659,225
7678,6995,335,829,76,7125,11388,10372,671,235
7438,7045,366,-240,118,7214,11574,10186,668,444
7638,7161,387,200,131,7346,12837,8923,670,678
7418,7278,295,-221,80,7390,11565,10195,667,352
7544,7325,303,126,90,7439,11466,10294,669,333
7178,7330,300,-366,58,7375,13234,8526,664,79
7808,7444,287,630,51,7508,12051,9709,672,105
7326,7503,191,-482,-22,7476,12053,9707,666,-106
7014,7420,236,-311,-44,7342,11887,9873,661,-61
7769,7462,263,754,-13,7458,12483,9277,672,-147
7233,7411,263,-536,-14,7390,11589,10171,664,-116
6886,7345,315,-347,-57,7249,13036,8724,659,-78
7547,7345,315,661,-18,7324,12537,9223,669,-197
8263,7481,428,716,40,7589,12204,9556,676,135
8273,7539,495,10,141,7773,12008,9752,676,782
7986,7621,507,-287,156,7845,12366,9394,674,885
7822,7722,454,-164,107,7861,12847,8913,672,488
7264,7659,477,-558,74,7698,13607,8153,665,50
7423,7683,460,159,9,7634,13018,8742,668,-288
6206,7598,631,-1217,-200,7259,12647,9113,645,-1014
6527,7471,724,320,-294,7047,12089,9671,652,-1203
6402,7238,731,-125,-299,6834,12641,9119,649,-1375
6761,7049,627,359,-227,6774,11820,9940,657,-777
6930,6917,518,169,-137,6783,12173,9587,660,-351
7121,6829,404,191,-23,6848,12622,9138,663,173
6742,6764,369,-379,16,6807,12316,9444,656,267
6398,6636,287,-344,57,6676,11624,10136,649,189
6302,6648,270,-96,-17,6585,11140,10620,647,-268
6632,6661,266,330,-32,6600,12180,9580,654,-347
7266,6769,311,635,-9,6791,12044,9716,665,-57
8881,7034,764,1614,166,7372,12625,9135,681,894
7017,7045,763,-1864,154,7286,12153,9607,661,1082
6802,7005,766,-215,141,7156,11892,9868,658,898
7443,7092,771,641,150,7247,12652,9108,668,-9
7175,7190,725,-268,82,7251,12619,9141,664,-80
6857,7259,661,-318,-41,7168,11000,10760,659,-161
7041,7310,625,184,-126,7147,11296,10464,662,-457
6436,7206,689,-604,-203,6946,12085,9675,650,-685
6620,6924,297,183,-73,6802,11959,9801,654,-360
7767,7018,409,1148,7,7064,11973,9787,672,-122
7202,7068,404,-565,0,7110,12501,9259,665,206
6567,6958,406,-636,-2,6950,13065,8695,654,353
6413,6863,432,-153,-24,6794,11458,10302,651,-217
5326,6672,667,-1087,-153,6385,11825,9935,620,-911
5364,6462,773,38,-222,6083,11755,10005,621,-1217
5549,6351,831,185,-301,5925,11820,9940,628,-1501
5631,6227,855,82,-332,5824,11055,10705,630,-1141
5826,5985,629,195,-201,5770,11912,9848,636,-506
6304,5872,459,478,-44,5879,11726,10034,649,76
6289,5838,413,-15,65,5973,12775,8985,649,483
5591,5735,355,-698,106,5855,11887,9873,629,522
5861,5802,321,270,73,5871,11324,10436,638,179
5317,5796,329,-544,-14,5732,10865,10895,620,-330
5197,5752,379,-121,-91,5588,11533,10227,615,-470
6096,5810,391,900,-75,5728,11238,10522,644,-438
5400,5757,414,-696,-107,5634,11376,10384,623,-308
5433,5648,368,33,-76,5560,11751,10009,624,-8
5467,5545,278,35,-22,5514,11683,10077,625,-179
5639,5551,280,172,-9,5546,11667,10093,631,-61
6158,5588,333,519,74,5708,12329,9431,646,266
6036,5678,344,-123,83,5810,11850,9910,643,426
5063,5661,370,-973,-20,5619,12969,8791,610,145
4955,5519,394,-108,-33,5421,11606,10154,606,-268
4906,5457,443,-49,-96,5279,11270,10490,604,-772
4962,5398,473,55,-140,5186,10682,11078,606,-732
4714,5304,522,-248,-190,5047,10732,11028,596,-709
5686,5310,526,972,-122,5208,11919,9841,633,-303
4673,5124,451,-1013,-84,5033,11739,10021,594,-160
4606,4946,318,-67,-30,4886,11319,10441,590,68
4427,4866,356,-178,-61,4754,11204,10556,581,-476
4467,4805,376,40,-84,4669,10834,10926,584,-488
4632,4771,378,164,-88,4652,11193,10567,592,-419
4916,4765,375,285,-55,4717,11358,10402,605,-149
4944,4794,379,27,-46,4780,10276,11484,606,59
5972,4830,465,1028,148,5086,11777,9983,641,716
6051,5002,609,80,233,5365,10447,11313,643,1046
5905,5164,653,-146,266,5537,11705,10055,639,1299
5527,5302,597,-378,217,5565,11514,10246,628,842
5405,5419,507,-122,136,5551,11679,10081,624,310
4658,5422,501,-747,-12,5328,11129,10631,593,-361
4956,5427,497,298,-105,5237,12302,9458,606,-673
5364,5480,464,408,-162,5280,11818,9942,622,-779
5018,5361,444,-346,-148,5188,11757,10003,609,-397
4754,5198,397,-265,-124,5043,11305,10455,598,-245
5477,5145,319,723,-25,5140,11392,10368,626,-99
5213,5106,287,-264,21,5149,11887,9873,617,67
5514,5119,303,301,87,5243,12128,9632,627,451
5234,5191,249,-280,48,5257,12175,9585,617,206
4904,5185,255,-330,-2,5167,11405,10355,604,52
5890,5250,345,986,76,5363,11518,10242,639,148
6886,5484,626,997,188,5796,11787,9973,661,655
5811,5616,567,-1076,137,5829,11489,10271,636,927
5366,5602,572,-444,101,5710,11228,10532,622,670
5992,5700,563,625,92,5802,11704,10056,641,37
5927,5751,563,-65,91,5845,11877,9883,639,17
5983,5845,530,56,55,5900,11919,9841,640,196
7706,6195,693,1723,109,6429,11769,9991,672,549
7498,6396,801,-208,185,6741,11571,10189,670,1066
7861,6518,930,363,360,7048,12269,9491,674,1873
7749,6760,966,-112,386,7277,12288,9472,673,1508
7063,6972,810,-686,262,7271,11607,10153,663,937
6761,7068,730,-303,140,7165,12534,9226,658,196
6976,7200,594,216,10,7147,12434,9326,662,-426
6333,7243,510,-643,-193,6953,11967,9793,649,-885
6161,7050,585,-172,-234,6712,11289,10471,645,-896
6493,6925,583,332,-232,6630,11294,10466,653,-953
6092,6704,518,-401,-201,6446,12094,9666,643,-728
6595,6559,336,502,-98,6451,11611,10149,655,-266
7089,6563,341,495,0,6611,11787,9973,664,47
6517,6532,332,-572,17,6581,11338,10422,653,323
6286,6446,293,-232,44,6488,12309,9451,648,296
6529,6470,291,243,39,6504,10917,10843,653,-42
7098,6587,329,569,59,6678,11909,9851,664,80
6597,6600,327,-501,49,6661,12108,9652,655,225
6970,6710,282,373,26,6763,12266,9494,662,285
6447,6692,294,-524,-9,6680,12175,9585,652,-32
6160,6576,297,-286,-10,6524,11262,10498,646,-80
5975,6508,358,-185,-67,6372,11628,10132,641,-502
5746,6440,436,-230,-154,6200,11403,10357,634,-768
6213,6401,441,467,-163,6195,11183,10577,647,-676
7348,6432,495,1134,-10,6490,10975,10785,669,5
6461,6415,491,-887,10,6479,12117,9643,653,414
6441,6349,445,-19,72,6455,12472,9288,652,641
6501,6356,447,60,95,6468,11577,10183,653,179
6174,6357,446,-327,59,6395,12236,9524,646,24
5939,6353,450,-235,-17,6280,12078,9682,640,-237
6409,6436,388,470,-77,6331,11351,10409,652,-418
6260,6442,384,-150,-116,6314,11750,10010,648,-382
6073,6282,192,-187,-49,6218,11810,9950,643,-56
6151,6244,183,78,-41,6193,12159,9601,646,-132
5641,6144,253,-510,-70,6033,11788,9972,631,-302
6107,6094,214,466,-35,6040,10842,10918,645,-205
6790,6171,316,684,32,6245,12731,9029,660,13
6070,6188,307,-721,-2,6205,11977,9783,644,216
6557,6206,323,487,53,6297,11297,10463,655,426
6201,6199,323,-356,58,6271,11011,10749,647,123
6274,6224,320,74,51,6278,11352,10408,649,192
6746,6298,361,472,87,6411,11658,10102,659,174
7377,6515,418,631,106,6701,11572,10188,669,454
7884,6737,582,507,177,7046,11781,9979,675,957
7025,6767,589,-859,206,7047,11509,10251,664,1059
7593,6957,580,569,200,7226,12367,9393,672,870
7433,7067,576,-160,197,7302,11572,10188,669,454
7412,7218,480,-21,133,7364,12403,9357,669,419
8397,7483,472,984,130,7681,12570,9190,680,422
7278,7550,394,-1118,34,7595,11431,10329,667,233
7079,7513,422,-199,-24,7458,11926,9834,664,115
6730,7368,465,-349,-49,7244,12579,9181,658,-543
6824,7343,488,93,-131,7133,12161,9599,660,-745
6891,7256,498,67,-142,7053,12505,9255,661,-705
8061,7334,565,1170,-56,7323,12700,9060,676,-121
6965,7278,576,-1096,-78,7221,11540,10220,662,44
7007,7105,393,42,19,7129,11875,9885,662,384
7955,7189,484,947,108,7354,12312,9448,675,192
8357,7349,615,402,194,7640,12102,9658,679,678
8329,7549,640,-28,209,7857,12477,9283,678,1064
8567,7766,653,239,217,8083,13121,8639,680,1042
7732,7872,566,-835,120,8018,12246,9514,673,540
7077,7749,616,-654,74,7756,12389,9371,664,70
6633,7707,675,-444,-103,7466,12121,9639,656,-895
6448,7637,767,-185,-283,7196,11049,10711,652,-1468
5989,7392,925,-459,-386,6840,11572,10188,641,-1655
6581,7170,878,592,-350,6726,11865,9895,655,-1328
5789,6852,861,-792,-341,6421,11652,10108,635,-1172
5656,6488,648,-133,-257,6149,12219,9541,631,-767
6569,6343,454,913,-117,6221,12385,9375,654,-541
6104,6221,362,-464,-58,6165,11452,10308,644,-178
6064,6150,328,-40,-27,6124,12332,9428,643,153
6883,6204,401,818,66,6326,11569,10191,661,234
5760,6176,423,-1123,6,6178,11938,9822,634,96
5209,6004,496,-551,-31,5897,11493,10267,616,-86
5144,5924,571,-65,-126,5691,10935,10825,614,-884
5155,5861,622,10,-219,5543,11172,10588,614,-1107
5861,5773,562,706,-143,5603,10747,11013,638,-617
6521,5825,608,660,-45,5844,12078,9682,654,33
5557,5761,606,-964,-42,5758,12332,9428,628,349
5260,5558,448,-297,37,5589,12056,9704,618,354
5178,5486,456,-82,27,5470,11392,10368,615,-246
5083,5470,468,-95,-37,5369,11871,9889,611,-474
4938,5444,490,-145,-116,5256,10471,11289,605,-605
5745,5518,485,807,-122,5394,12035,9725,634,-420
5226,5438,475,-518,-109,5335,12443,9317,617,-217
5845,5354,304,618,40,5444,11875,9885,637,402
5381,5332,294,-464,64,5423,11264,10496,622,243
5198,5324,297,-182,46,5365,11930,9830,615,241
4929,5293,323,-269,-3,5249,11493,10267,604,-198
5261,5315,313,332,-28,5257,10930,10830,617,-297
4983,5321,307,-279,-96,5190,10743,11017,606,-421
4944,5221,282,-38,-82,5106,11298,10462,605,-253
5591,5266,307,647,-51,5237,11467,10293,629,-150
6032,5290,354,441,75,5441,10199,11561,641,372
6122,5383,450,91,154,5632,13067,8693,644,852
6611,5559,596,489,237,5916,11433,10327,655,1113
5971,5689,557,-640,203,5959,12333,9427,640,873
5976,5779,538,5,181,5983,11689,10071,640,652
5971,5902,447,-5,112,6007,12330,9430,640,112
5238,5939,373,-733,-46,5823,12759,9001,616,-337
4926,5856,495,-312,-168,5580,11274,10486,603,-764
5542,5795,500,616,-175,5557,11378,10382,627,-895
4863,5637,566,-679,-217,5348,11801,9959,601,-843
4807,5412,487,-56,-182,5163,11951,9809,598,-546
5028,5294,450,222,-154,5103,11543,10217,608,-631
5013,5173,373,-15,-105,5054,11334,10426,607,-358
5086,5063,220,73,-26,5037,10697,11063,610,-32
6195,5182,436,1108,87,5353,11548,10212,645,398
5053,5198,429,-1141,48,5282,10948,10812,609,394
4949,5124,414,-105,64,5182,11446,10314,604,439
4850,5123,415,-98,13,5099,12035,9725,600,-275
4883,5132,409,33,-40,5047,11591,10169,601,-381
4808,5105,422,-75,-78,4981,11551,10209,598,-412
6730,5319,679,1922,47,5466,10722,11038,657,247
5554,5378,677,-1176,42,5501,11772,9988,627,511
5936,5345,642,383,176,5603,11292,10468,638,1165
6088,5475,674,152,206,5753,10612,11148,642,615
6699,5694,748,611,252,6038,12369,9391,656,876
6201,5862,688,-498,204,6116,11581,10179,645,747
6604,6078,613,402,161,6286,11781,9979,654,678
6421,6279,386,-183,53,6365,12024,9736,650,207
6476,6247,357,55,118,6385,12448,9312,651,404
6108,6317,255,-368,32,6331,11401,10359,642,29
6101,6337,228,-7,-27,6278,12522,9238,642,-174
6090,6337,228,-11,-74,6231,11743,10017,642,-381
6515,6314,198,425,-20,6297,11382,10378,652,-127
6302,6327,193,-213,-33,6301,11853,9907,647,-40
6500,6314,177,198,11,6348,11490,10270,651,200
6726,6352,223,226,56,6451,11797,9963,656,251
6635,6372,239,-91,93,6501,12637,9123,654,397
6986,6482,289,352,116,6647,10941,10819,660,481
8143,6737,588,1157,214,7078,12072,9688,676,828
7353,6895,562,-790,196,7182,12060,9700,666,959
7515,7020,575,162,207,7293,11943,9817,668,1041
7037,7112,507,-478,131,7249,11853,9907,661,304
6611,7126,491,-426,24,7093,12395,9365,654,-115
6805,7136,484,194,-46,7023,11719,10041,658,-509
7643,7262,468,838,-57,7206,10604,11156,671,-387
7060,7271,463,-583,-103,7172,11307,10453,662,-162
6900,7115,336,-160,-41,7069,11903,9857,659,137
6642,7027,355,-258,-55,6943,12490,9270,654,-255
6600,6912,325,-42,-38,6831,12280,9480,653,-317
6666,6866,330,66,-45,6780,10875,10885,654,-368
7305,6953,343,639,-36,6930,12304,9456,665,-153
6731,6943,348,-574,-70,6878,12058,9702,655,-68
6496,6800,253,-235,-33,6751,11700,10060,651,70
6358,6712,269,-138,-42,6633,11673,10087,648,-294
7065,6733,288,707,8,6746,12266,9494,662,-149
6314,6692,320,-750,-37,6629,12077,9683,647,-181
6516,6681,324,202,-61,6598,11398,10362,652,-79
6159,6618,367,-357,-106,6474,11319,10441,643,-461
6019,6457,308,-140,-83,6325,11892,9868,640,-361
6088,6377,310,69,-84,6248,12759,9001,642,-461
6045,6320,324,-43,-99,6184,12326,9434,641,-432
5760,6246,372,-285,-142,6062,12052,9708,633,-451
6042,6118,209,283,-71,6028,11194,10566,641,-270
5585,6027,257,-458,-94,5897,11280,10480,627,-370
6018,5964,179,434,-43,5914,12039,9721,640,-132
6337,5987,211,319,9,6024,12140,9620,648,-11
5996,5984,210,-341,14,6017,11310,10450,640,213
6383,6021,248,387,58,6116,11666,10094,650,349
7024,6143,415,641,144,6371,11397,10363,662,519
6280,6208,390,-744,114,6362,11522,10238,647,566
5998,6202,392,-282,79,6270,12306,9454,640,370
5751,6223,362,-247,-25,6145,11604,10156,633,-342
6121,6236,357,370,-55,6142,11272,10488,644,-447
5487,6130,430,-634,-107,5954,10934,10826,625,-549
5819,6108,441,332,-147,5916,11607,10153,636,-478
5176,5957,520,-643,-195,5697,11461,10299,614,-741
5317,5744,366,141,-134,5555,12324,9436,619,-490
5207,5609,340,-111,-122,5438,11112,10648,615,-602
6100,5622,356,893,-39,5606,11106,10654,644,-130
5308,5567,366,-792,-52,5519,11887,9873,619,-46
5924,5542,333,617,38,5615,11706,10054,639,376
5150,5500,358,-774,-1,5490,11548,10212,613,-63
5915,5512,370,764,68,5599,11665,10095,639,242
6345,5658,434,430,101,5818,11406,10354,650,232
6091,5755,433,-254,101,5908,11705,10055,643,579
5774,5826,381,-317,44,5890,12048,9712,635,391
6339,5856,410,565,116,6009,11124,10636,650,340
4882,5803,496,-1457,-24,5716,12061,9699,602,-220
4625,5640,625,-257,-109,5407,12063,9697,591,-573
4323,5537,753,-302,-272,5113,11158,10602,575,-1483
4419,5350,819,96,-324,4898,12846,8914,580,-1431
4251,5088,793,-168,-309,4678,12269,9491,571,-1212
4814,4928,698,563,-225,4676,10432,11328,600,-694
4647,4788,623,-167,-157,4638,11814,9946,592,-347
4294,4532,228,-353,-32,4495,11638,10122,574,85
4914,4536,234,620,37,4600,10722,11038,604,132
4929,4574,268,15,79,4691,11558,10202,604,221
4573,4605,251,-356,53,4668,11037,10723,588,320
5748,4771,441,1176,128,4975,11822,9938,634,499
4735,4832,396,-1014,69,4929,10847,10913,596,299
4425,4783,419,-310,33,4792,10796,10964,581,298
4447,4758,432,22,-9,4700,12241,9519,582,-356
4778,4819,395,332,-57,4733,11300,10460,598,-430
5227,4858,417,449,-13,4865,11719,10041,617,-65
4857,4849,417,-370,-6,4861,11829,9931,602,169
4276,4812,451,-581,-83,4706,11207,10553,573,-40
4124,4608,334,-152,-40,4516,11012,10748,564,-304
4139,4534,363,15,-65,4405,11453,10307,565,-567
4000,4481,404,-139,-122,4292,12069,9691,557,-629
4308,4463,408,308,-140,4292,11232,10528,575,-504
5686,4577,573,1379,-4,4666,11482,10278,633,140
5180,4571,566,-506,116,4793,11212,10548,615,779
5232,4618,602,51,201,4913,11519,10241,617,1197
5165,4729,611,-67,210,5001,11108,10652,614,741
5150,4857,577,-15,181,5067,11567,10193,614,520
5216,4992,516,66,134,5134,11902,9858,617,296
6073,5251,472,857,117,5427,12217,9543,644,366
6296,5500,431,223,103,5699,12045,9715,649,579
7273,5698,732,978,271,6137,11942,9818,667,1359
8654,6132,1185,1381,462,6863,12941,8819,681,2040
8264,6511,1314,-390,543,7297,12033,9727,678,2484
8441,6921,1341,177,559,7674,12090,9670,679,2451
9089,7413,1324,648,550,8137,11386,10374,683,1895
8367,7807,1052,-722,394,8282,12534,9226,678,1320
7884,8033,825,-483,215,8233,12707,9053,673,661
7479,8181,566,-405,-17,8078,12896,8864,668,-434
7380,8195,545,-99,-181,7906,12229,9531,667,-982
7729,8079,533,349,-171,7836,13477,8283,671,-880
8922,8161,602,1193,-81,8126,12842,8918,681,-242
8666,8190,619,-256,-9,8267,11898,9862,679,399
8370,8100,528,-296,103,8273,12661,9099,677,885
10520,8369,964,2149,333,8895,12645,9115,684,1307
12757,8978,1714,2238,647,9996,13671,8089,680,2514
12877,9653,2025,120,811,10866,13272,8488,680,3838
12927,10346,2077,50,840,11536,13022,8738,680,4012
12767,10976,1948,-160,762,11984,13748,8012,680,3010
12181,11383,1812,-585,642,12124,13361,8399,682,1987
11726,11766,1493,-455,379,12109,12743,9017,683,734
11141,12112,846,-586,-36,11944,13158,8602,684,-687
10726,12138,799,-414,-322,11646,13596,8164,685,-1504
11486,11979,786,760,-310,11570,13250,8510,684,-1378
10444,11675,848,-1042,-342,11221,14116,7644,685,-1263
10780,11407,742,336,-282,11051,12740,9020,685,-805
10473,11120,589,-308,-215,10843,12970,8790,686,-886
9888,10833,560,-585,-203,10540,12767,8993,685,-725
9667,10576,563,-221,-205,10265,13280,8480,685,-906
9823,10411,567,156,-207,10118,13852,7908,686,-989
9474,10254,628,-349,-251,9922,13087,8673,685,-959
9172,9965,517,-302,-210,9670,12901,8859,684,-761
8662,9742,633,-509,-267,9369,13543,8217,682,-1023
8406,9446,634,-257,-267,9062,13991,7769,680,-1118
8320,9177,596,-86,-251,8817,12928,8832,680,-1142
8300,8978,591,-20,-248,8643,11674,10086,680,-1018
7902,8758,621,-398,-263,8409,11941,9819,676,-933
7413,8456,615,-489,-261,8093,12764,8996,671,-935
7160,8167,613,-253,-260,7795,12580,9180,667,-1080
6877,7880,613,-283,-260,7502,11198,10562,662,-1168
6718,7637,639,-159,-273,7252,12469,9291,659,-1150
7508,7525,569,790,-201,7291,12536,9224,672,-785
7290,7396,485,-218,-136,7262,11502,10258,669,-358
8030,7362,427,740,14,7447,13078,8682,678,396
7762,7345,407,-269,105,7522,12344,9416,675,559
7555,7363,413,-207,130,7534,12535,9225,673,672
7847,7448,432,293,149,7631,11989,9771,676,437
8202,7614,436,355,150,7811,13189,8571,680,406
7708,7738,274,-493,62,7813,13511,8249,675,290
7307,7713,302,-401,1,7681,12367,9393,670,42
7439,7731,279,132,-67,7624,13030,8730,672,-395
8048,7733,281,609,-8,7731,11721,10039,678,-217
8519,7828,384,471,60,7949,12389,9371,682,278
11055,8266,1117,2536,300,8823,12145,9615,688,1507
10216,8562,1271,-839,418,9237,12666,9094,688,2190
9565,8732,1302,-651,463,9357,12325,9435,687,2475
9481,8954,1259,-84,415,9437,12668,9092,687,1281
9102,9178,1095,-379,251,9403,13142,8618,685,327
8677,9333,910,-425,23,9256,11919,9841,683,-394
8995,9451,788,318,-143,9217,12107,9653,685,-843
8269,9420,829,-727,-341,8973,12473,9287,680,-1237
8515,9103,595,247,-241,8788,12966,8794,682,-815
9359,8995,442,843,-101,8907,13597,8163,686,-450
9018,8927,388,-341,-38,8920,12513,9247,685,59
9009,8868,331,-9,28,8929,12682,9078,685,417
9244,8886,346,234,85,9011,12497,9263,686,327
